Date,Open,High,Low,Close,Adj Close,Volume
1/5/2015,95.050003,95.730003,93.629997,94.010002,90.227768,928200
1/6/2015,94.410004,94.760002,92.410004,93.019997,89.277588,960500
1/7/2015,93.989998,94.470001,93.370003,94.440002,90.640472,699600
1/8/2015,94.919998,95.959999,94.919998,95.360001,91.52346,1187500
1/9/2015,95.269997,95.389999,93.629997,93.82,90.04541,774300
1/12/2015,94.139999,94.510002,92.790001,93.010002,89.268005,905600
1/13/2015,93.739998,95.660004,93.57,94.489998,90.688438,1324900
1/14/2015,93.559998,93.900002,92.57,93.739998,89.968636,1272800
1/15/2015,93.919998,94.370003,92.650002,92.669998,88.941689,1461100
1/16/2015,92.370003,94.18,92,94.129997,90.342934,1187300
1/20/2015,94.730003,95.269997,93.050003,94.18,90.390938,1018400
1/21/2015,93.68,94.010002,92.279999,92.720001,88.98967,1034300
1/22/2015,93.25,94.489998,91.949997,94.360001,90.563698,1601500
1/23/2015,93.800003,94.389999,93.400002,93.779999,90.007027,1031100
1/26/2015,93.459999,94.309998,92.230003,94.230003,90.438919,708700
1/27/2015,93.139999,94.32,92.699997,93.559998,89.795868,961600
1/28/2015,94.239998,94.410004,90.519997,90.620003,86.974159,1558300
1/29/2015,90.510002,92.589996,90.330002,92.349998,88.634552,1193000
1/30/2015,91.419998,92.959999,91.199997,91.330002,87.655602,1254400
2/2/2015,90.739998,90.739998,85.5,89.32,85.726456,5025100
2/3/2015,90.209999,92.790001,89.900002,92.690002,88.960884,1903700
2/4/2015,92.419998,93.029999,91.639999,92.220001,88.509789,1358500
2/5/2015,92.480003,93.360001,92.019997,93.269997,89.51754,957400
2/6/2015,96,98.730003,96,98.040001,94.095634,2484600
2/9/2015,97.769997,98.989998,97.440002,97.889999,93.951668,1023100
2/10/2015,98.290001,99.010002,97.199997,98.849998,94.873055,924800
2/11/2015,98.370003,98.93,97.080002,97.300003,93.385406,1117500
2/12/2015,97.779999,98.550003,97.760002,98.209999,94.258789,1327100
2/13/2015,98.089996,98.440002,97.480003,98.220001,94.268379,917100
2/17/2015,97.970001,98.529999,97.790001,98.080002,94.134018,1036700
2/18/2015,97.68,98.800003,97.360001,98.230003,94.605949,988600
2/19/2015,97.739998,98.139999,97.019997,97.099998,93.517647,780700
2/20/2015,96.889999,97.400002,96.089996,97.139999,93.55616,1235700
2/23/2015,96.870003,97.230003,96.440002,96.769997,93.199799,753200
2/24/2015,96.809998,97.269997,96.489998,97.18,93.594688,1378200
2/25/2015,97.449997,97.870003,96.989998,97.559998,93.960655,738800
2/26/2015,97.309998,97.449997,96.389999,96.870003,93.296127,780500
2/27/2015,97,97.610001,96.529999,96.940002,93.363541,1137800
3/2/2015,96.809998,96.980003,96.449997,96.769997,93.199799,1182000
3/3/2015,96.169998,96.5,94.809998,96.139999,92.593048,1134100
3/4/2015,95.550003,96.010002,95.019997,95.07,91.562515,1415300
3/5/2015,95.040001,96.32,95,96.120003,92.573792,1091900
3/6/2015,95.82,96.25,94.349998,94.559998,91.071342,851600
3/9/2015,94.440002,96.610001,94.25,96.43,92.872345,1121800
3/10/2015,95.529999,96.239998,95.050003,95.220001,91.707001,1444300
3/11/2015,95.300003,96.410004,94.970001,96,92.458221,892600
3/12/2015,96.260002,98.330002,96.190002,98.300003,94.67337,1073700
3/13/2015,98.290001,98.669998,96.739998,97.120003,93.536911,1258300
3/16/2015,97.440002,98.190002,97.169998,97.730003,94.124405,1191100
3/17/2015,98.080002,100.800003,98.080002,100.690002,96.975189,1676900
3/18/2015,100.599998,103.099998,99.919998,102.870003,99.07476,1873200
3/19/2015,102.790001,103.389999,101.949997,102.470001,98.689514,1218800
3/20/2015,102.5,104.43,102.5,104.260002,100.413483,2008400
3/23/2015,104.050003,104.580002,103.510002,103.519997,99.700768,956900
3/24/2015,103.190002,103.959999,103.099998,103.290001,99.479263,840400
3/25/2015,103.169998,103.18,101.699997,101.699997,97.947922,931000
3/26/2015,101.699997,102.400002,101.160004,102.089996,98.323524,1077100
3/27/2015,101.800003,102.809998,101.699997,102.489998,98.708786,854000
3/30/2015,103.360001,104.360001,102.830002,104.120003,100.278648,777300
3/31/2015,103.68,104.419998,102.93,103.800003,99.970444,1363700
4/1/2015,102.910004,104.650002,102.440002,104.43,100.577209,967200
4/2/2015,104.150002,105.709999,103.919998,104.699997,100.837242,793500
4/6/2015,103.669998,105.480003,103.419998,104.910004,101.039497,604100
4/7/2015,105.150002,105.480003,104.580002,104.580002,100.72168,454600
4/8/2015,104.93,105.839996,104.529999,105.32,101.434364,586700
4/9/2015,105.059998,106.110001,104.489998,105.849998,101.944801,487400
4/10/2015,105.779999,105.989998,104.699997,105.730003,101.829247,472000
4/13/2015,105.690002,106.169998,105.309998,105.419998,101.53067,586000
4/14/2015,105.410004,105.489998,104.139999,104.910004,101.039497,468000
4/15/2015,104.830002,106.150002,104.620003,105.690002,101.79071,1018000
4/16/2015,105.660004,105.970001,104.940002,105.220001,101.338058,622700
4/17/2015,104.279999,104.720001,103.389999,104.400002,100.548317,756700
4/20/2015,104.830002,106.010002,104.610001,105.870003,101.964081,635800
4/21/2015,106.059998,106.779999,105.690002,105.989998,102.079659,518500
4/22/2015,105.949997,107.440002,105.650002,107.230003,103.273911,687600
4/23/2015,106.779999,107.989998,106.330002,107.760002,103.784348,513600
4/24/2015,107.629997,107.919998,107.099998,107.5,103.533943,426000
4/27/2015,107.540001,108.169998,106.779999,107.339996,103.379845,608900
4/28/2015,107.139999,107.870003,105.980003,107.699997,103.72657,885100
4/29/2015,107.330002,107.919998,106.800003,107.449997,103.485794,815500
4/30/2015,107.300003,107.839996,106.559998,107.519997,103.553207,1473100
5/1/2015,110,110.010002,106.889999,107.220001,103.264259,1429800
5/4/2015,107.720001,108.720001,107.129997,108.400002,104.400749,1215200
5/5/2015,108.330002,108.769997,107.910004,108.239998,104.246643,1020600
5/6/2015,108.360001,109.269997,106.339996,106.629997,102.69603,1077100
5/7/2015,106.459999,107.110001,105.959999,107.010002,103.062004,1002300
5/8/2015,107.970001,108.489998,107.470001,107.879997,103.899925,961500
5/11/2015,107.650002,108.080002,106.629997,106.699997,102.763451,900400
5/12/2015,105.959999,106.760002,104.910004,106.489998,102.561211,1213700
5/13/2015,106.669998,107.730003,106.669998,107.199997,103.244995,1250500
5/14/2015,107.699997,108.910004,107.18,108.730003,104.718552,913100
5/15/2015,109.050003,110.050003,108.739998,109.980003,105.922455,1199000
5/18/2015,109.5,110.220001,109.330002,109.449997,105.738884,675400
5/19/2015,109.68,110.510002,109.629997,110.099998,106.366844,718700
5/20/2015,109.720001,110.410004,109.449997,110.269997,106.531082,829500
5/21/2015,109.940002,110.239998,108.839996,109.889999,106.163956,746300
5/22/2015,109.919998,110.269997,109.449997,110.110001,106.376511,800800
5/26/2015,110.07,110.07,108.349998,108.580002,104.898376,1069900
5/27/2015,108.940002,109.510002,108.25,109.220001,105.516685,673600
5/28/2015,108.589996,109.269997,108.18,108.830002,105.1399,530100
5/29/2015,109.019997,109.400002,107.580002,108.099998,104.434662,1297600
6/1/2015,108.360001,109.089996,107.970001,108.5,104.821106,865200
6/2/2015,108.339996,108.779999,107.510002,108.410004,104.734138,514500
6/3/2015,108.809998,109.75,108.279999,109.190002,105.487701,744400
6/4/2015,108.760002,109.169998,107.5,107.650002,103.999931,622400
6/5/2015,107.860001,108.349998,106.959999,107.150002,103.516869,725900
6/8/2015,106.970001,107.5,105.550003,105.57,101.990456,1188200
6/9/2015,105.650002,106.449997,104.870003,106.010002,102.415527,936300
6/10/2015,106.349998,107.690002,106.110001,107.529999,103.883995,1133200
6/11/2015,107.82,108.769997,107.400002,108.75,105.062607,882700
6/12/2015,108.599998,108.949997,107.879997,108.709999,105.023979,1366100
6/15/2015,107.93,107.970001,107.07,107.949997,104.289726,815400
6/16/2015,107.639999,108.370003,107.5,108.029999,104.367035,638200
6/17/2015,108.400002,108.849998,107.910004,108.419998,104.743805,632400
6/18/2015,108.839996,110.290001,108.290001,110,106.270241,1698800
6/19/2015,109.699997,110.550003,109.099998,110.059998,106.328194,2973300
6/22/2015,110.830002,111.059998,109.959999,110.82,107.062424,703400
6/23/2015,110.75,111.059998,109.959999,110.57,106.820908,552100
6/24/2015,110.199997,111,109.910004,109.949997,106.221924,520500
6/25/2015,110.040001,110.309998,109.230003,109.239998,105.536003,470900
6/26/2015,109.629997,110.599998,109.269997,110.550003,106.80159,735700
6/29/2015,109.540001,109.900002,106.959999,107.169998,103.536201,803700
6/30/2015,108,108.440002,107.139999,107.959999,104.2994,1060000
7/1/2015,108.720001,109.360001,108.150002,108.989998,105.294487,654500
7/2/2015,109.290001,109.309998,108.120003,108.709999,105.023979,566000
7/6/2015,107.860001,109.190002,107.849998,108.449997,104.772781,1024200
7/7/2015,108.760002,109.669998,107.400002,109.459999,105.74855,787300
